S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	temperature	field	Time	Sweep var
0.00196673	0.390627	-0.000736598	179.493	-2.84427e-006	177.509	0.0028515	0.085938	+1.03021284E-01	-9.92937267E-01	244.875	0
0.00196935	0.406252	-0.000736479	179.478	-2.8182e-006	177.251	0.00285055	0.0625005	+1.03025558E-01	-9.92936137E-01	245.187	0
0.00196911	0.398439	-0.000736598	179.478	-2.79771e-006	176.446	0.00284959	-0.0312502	+1.03023234E-01	-9.92933724E-01	245.5	0
0.00196959	0.406252	-0.000736956	179.485	-2.76791e-006	175.993	0.0028515	0.0390627	+1.03023191E-01	-9.92934348E-01	245.828	0
0.00196911	0.335939	-0.000737194	179.485	-2.73997e-006	176.024	0.00285055	0.0312502	+1.03021971E-01	-9.92936193E-01	246.14	0
0.00197007	0.390627	-0.000737313	179.493	-2.70458e-006	176.142	0.00285055	0.0156251	+1.03024320E-01	-9.92934903E-01	246.437	0
0.00196983	0.406252	-0.000737432	179.509	-2.66173e-006	176.767	0.00285055	0.00781256	+1.03023497E-01	-9.92936440E-01	246.765	0
0.00197007	0.304689	-0.000737313	179.517	-2.60213e-006	177.642	0.00285055	0.109375	+1.03023331E-01	-9.92934925E-01	247.062	0
0.00196959	0.421877	-0.000736956	179.517	-2.55556e-006	178.196	0.00285055	-0.070313	+1.03021957E-01	-9.92933647E-01	247.375	0
0.00196983	0.406252	-0.000736836	179.517	-2.54439e-006	178.493	0.00285007	-0.070313	+1.03022675E-01	-9.92937529E-01	247.687	0
0.00197031	0.484377	-0.000736836	179.524	-2.55743e-006	178.759	0.00285055	0.0156251	+1.03032530E-01	-9.92901268E-01	248.015	0
0.00197054	0.406252	-0.000736598	179.524	-2.57419e-006	178.579	0.00284721	0.0468752	+1.03120607E-01	-9.92757534E-01	248.312	0
0.00195695	0.187501	-0.000736479	179.532	-8.23293e-007	-123.352	0.00284959	0.125001	+1.03119430E-01	-9.92754781E-01	248.625	0
0.00196363	0.523441	-0.000735883	179.579	3.12926e-006	-56.5315	0.00284959	0.0546877	+1.03122353E-01	-9.92754614E-01	248.937	0
0.00196864	0.273439	-0.000734571	179.61	4.46665e-006	-53.6096	0.00285007	0.0234376	+1.03212374E-01	-9.92589027E-01	249.25	0
0.0019591	0.382814	-0.00073326	179.626	3.39934e-006	-57.0315	0.00284959	0.0468752	+1.03211472E-01	-9.92588685E-01	249.578	0
0.00196292	0.390627	-0.000732306	179.626	1.54414e-006	-67.0864	0.00284959	0.0468752	+1.03210497E-01	-9.92587722E-01	249.89	0
0.00196411	0.335939	-0.000732068	179.634	-9.6858e-008	-92.4458	0.00284959	-0.00781256	+1.03212736E-01	-9.92591012E-01	250.203	0
0.00196268	0.390627	-0.000732306	179.634	-1.26661e-006	-135.884	0.00284959	0.101563	+1.03211184E-01	-9.92593406E-01	250.5	0
0.00196387	0.367189	-0.000732664	179.642	-2.01167e-006	-163.821	0.00284912	-0.00781256	+1.03210375E-01	-9.92592437E-01	250.828	0
0.00196244	0.367189	-0.000732783	179.642	-2.43077e-006	-175.407	0.00284864	0	+1.03212484E-01	-9.92591283E-01	251.125	0
0.00196411	0.398439	-0.000732664	179.642	-2.64683e-006	-179.603	0.00284816	-0.0546877	+1.03210822E-01	-9.92589623E-01	251.453	0
0.00196458	0.367189	-0.000732545	179.649	-2.75673e-006	178.985	0.00284912	0.0468752	+1.03210197E-01	-9.92587833E-01	251.765	0
0.00196339	0.390627	-0.000732902	179.634	-2.8033e-006	178.462	0.00284912	-0.0234376	+1.03208946E-01	-9.92588845E-01	252.062	0
0.00196458	0.382814	-0.000733737	179.626	-2.8182e-006	178.392	0.00284959	-0.0546877	+1.03209412E-01	-9.92586562E-01	252.375	0
0.00196411	0.367189	-0.000734571	179.626	-2.82378e-006	178.978	0.00284959	0.0625005	+1.03170488E-01	-9.92677667E-01	252.703	0
0.0019653	0.375002	-0.000735287	179.626	-2.85731e-006	-178.462	0.00284864	0.164063	+1.03150912E-01	-9.92688882E-01	253.015	0
0.00196506	0.382814	-0.000735644	179.634	-2.87035e-006	-176.673	0.00284912	0	+1.03206799E-01	-9.92596351E-01	253.312	0
0.00196458	0.359377	-0.000735763	179.642	-2.83682e-006	-177.071	0.00284959	0.085938	+1.03210465E-01	-9.92587228E-01	253.625	0
0.00196482	0.382814	-0.000735644	179.642	-2.78094e-006	-178.829	0.00284959	-0.070313	+1.03206034E-01	-9.92589574E-01	253.953	0
