temperature	field	S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	Time	Sweep var
+3.33744966E+00	+1.00496650E+00	0.00191594	0.515629	-0.000129879	-179.743	-5.28994e-006	179.485	0.00395253	0.0156251	6.625	0
+3.33744972E+00	+1.00496836E+00	0.0019157	0.523441	-0.000131049	179.204	-5.27504e-006	179.556	0.00395253	0.0156251	6.953	0
+3.33745330E+00	+1.00496664E+00	0.0019157	0.507816	-0.000131757	-179.86	-5.26759e-006	179.087	0.00395253	0.0156251	7.266	0
+3.33745472E+00	+1.00496686E+00	0.00191594	0.515629	-0.000129067	178.938	-5.26014e-006	178.79	0.00395253	0.0156251	7.578	0
+3.33745295E+00	+1.00496607E+00	0.00191546	0.515629	-0.000130528	-179.899	-5.25641e-006	178.97	0.00395206	0.0156251	7.891	0
+3.33745097E+00	+1.00496599E+00	0.00191594	0.523441	-0.000129805	-179.595	-5.24151e-006	179.407	0.00395158	0.0156251	8.187	0
+3.33745415E+00	+1.00496164E+00	0.00191594	0.523441	-0.000129209	-178.845	-5.22289e-006	179.626	0.0039511	0.0156251	8.5	0
+3.33745307E+00	+1.00496230E+00	0.00191594	0.515629	-0.000128799	-179.978	-5.20053e-006	179.556	0.00395063	0.0156251	8.812	0
+3.33745250E+00	+1.00496148E+00	0.00191594	0.515629	-0.000128047	179.79	-5.18936e-006	179.478	0.00395015	0.00781256	9.125	0
+3.33745176E+00	+1.00496310E+00	0.00191594	0.523441	-0.000128389	-179.243	-5.17818e-006	179.438	0.00394967	0.00781256	9.437	0
+3.33745261E+00	+1.00496448E+00	0.0019157	0.515629	-0.000130729	-179.04	-5.18563e-006	179.399	0.0039492	0.00781256	9.75	0
+3.33745642E+00	+1.00496509E+00	0.00191594	0.515629	-0.000128717	179.829	-5.19308e-006	179.329	0.0039492	0.00781256	10.062	0
+3.33745381E+00	+1.00496527E+00	0.00191594	0.515629	-0.000128337	-179.798	-5.19681e-006	179.29	0.00394872	0.00781256	10.375	0
+3.33744960E+00	+1.00496799E+00	0.0019157	0.515629	-0.000130155	179.899	-5.22661e-006	179.298	0.00394872	0.00781256	10.703	0
+3.33745034E+00	+1.00496152E+00	0.0019157	0.523441	-0.000129559	-178.329	-5.25641e-006	179.267	0.0039492	0.00781256	11	0
+3.33745119E+00	+1.00496295E+00	0.00191594	0.507816	-0.000129768	-179.798	-5.22661e-006	179.298	0.00395015	0.00781256	11.312	0
