temperature	field	S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	Time	Sweep var
+6.87406750E-02	-9.92989971E-01	0.00175858	0.515629	-9.10093e-005	-179.774	-4.15745e-006	179.415	0.00247957	-0.0468752	1268.08	0
+6.87425672E-02	-9.92987552E-01	0.00175811	0.515629	-9.1054e-005	-179.774	-4.08667e-006	179.267	0.00247957	0.085938	1268.41	0
+6.87423511E-02	-9.92986706E-01	0.00175811	0.515629	-9.10615e-005	-179.774	-4.02334e-006	179.017	0.00247957	0.0312502	1268.72	0
+6.87421667E-02	-9.92992255E-01	0.00175763	0.515629	-9.10391e-005	-179.774	-3.97864e-006	178.837	0.00247933	-0.00781256	1269.03	0
+6.87420878E-02	-9.92990212E-01	0.00175906	0.523441	-9.10168e-005	-179.774	-3.96001e-006	178.884	0.00247957	-0.0625005	1269.33	0
+6.87392176E-02	-9.92992168E-01	0.00175858	0.515629	-9.0987e-005	-179.782	-3.95629e-006	179.243	0.00247909	0.0468752	1269.66	0
+6.87390328E-02	-9.92991310E-01	0.00175882	0.515629	-9.09572e-005	-179.79	-3.9805e-006	179.681	0.00247957	0.0156251	1269.97	0
+6.87445822E-02	-9.92992857E-01	0.00175906	0.523441	-9.09125e-005	-179.798	-4.04197e-006	-179.954	0.00247909	0	1270.27	0
+6.87443845E-02	-9.92992005E-01	0.00175763	0.515629	-9.08901e-005	-179.798	-4.12206e-006	-179.743	0.00247909	0.0156251	1270.59	0
+6.87442504E-02	-9.92988876E-01	0.00175858	0.515629	-9.08975e-005	-179.782	-4.19284e-006	-179.563	0.00247933	-0.0234376	1270.91	0
+6.87408697E-02	-9.92989474E-01	0.00175858	0.515629	-9.09199e-005	-179.782	-4.2301e-006	-179.571	0.00247885	0.070313	1271.22	0
+6.87421822E-02	-9.92990104E-01	0.00175834	0.531254	-9.09572e-005	-179.774	-4.21706e-006	-179.642	0.00247933	-0.0781255	1271.53	0
+6.87407128E-02	-9.92984901E-01	0.00175739	0.515629	-9.09572e-005	-179.782	-4.15745e-006	-179.837	0.00247909	-0.148438	1271.84	0
+6.87396198E-02	-9.92985827E-01	0.00175739	0.507816	-9.09572e-005	-179.782	-4.08667e-006	179.946	0.00247909	0.101563	1272.16	0
+6.87394991E-02	-9.92989641E-01	0.00175787	0.515629	-9.09497e-005	-179.798	-4.06246e-006	179.892	0.00247909	0.140626	1272.45	0
+6.87406279E-02	-9.92987226E-01	0.00175763	0.523441	-9.09423e-005	-179.79	-4.10157e-006	179.712	0.00247957	0.0234376	1272.78	0
+6.87414171E-02	-9.92987542E-01	0.00175858	0.515629	-9.09348e-005	-179.782	-4.10902e-006	179.735	0.00247909	0.070313	1273.08	0
+6.87385474E-02	-9.92986265E-01	0.00175763	0.515629	-9.09199e-005	-179.774	-4.08667e-006	179.759	0.00247909	0.179688	1273.39	0
+6.87383151E-02	-9.92985931E-01	0.00175787	0.515629	-9.09125e-005	-179.767	-4.06991e-006	179.665	0.00247933	0	1273.7	0
+6.87382466E-02	-9.92988332E-01	0.00175763	0.523441	-9.09199e-005	-179.767	-4.07177e-006	179.806	0.00247885	0.0546877	1274.03	0
+6.87876383E-02	-9.92896992E-01	0.00175811	0.539066	-9.09274e-005	-179.774	-4.09971e-006	179.782	0.00247933	0.085938	1274.33	0
+6.88383835E-02	-9.92806572E-01	0.00175358	0.218751	-9.09572e-005	-179.782	-4.2748e-006	-170.595	0.00247909	0.140626	1274.64	0
+6.88352402E-02	-9.92806677E-01	0.00175167	0.648441	-9.10838e-005	-179.774	-5.23779e-006	-143.626	0.00247909	-0.0468752	1274.95	0
+6.88602288E-02	-9.92753727E-01	0.00176264	0.421877	-9.1136e-005	-179.751	-5.83383e-006	-136.11	0.00247981	-0.0625005	1275.28	0
+6.89260440E-02	-9.92636372E-01	0.00175596	0.625004	-9.10838e-005	-179.743	-5.62149e-006	-137.907	0.00247933	-0.0546877	1275.59	0
+6.89283395E-02	-9.92638254E-01	0.00175906	0.593754	-9.09944e-005	-179.751	-5.10554e-006	-144.009	0.00247957	-0.117188	1275.89	0
+6.89264813E-02	-9.92637557E-01	0.00175954	0.484377	-9.09199e-005	-179.774	-4.61008e-006	-152.938	0.00247933	-0.0390627	1276.22	0
+6.89247327E-02	-9.92636662E-01	0.00175668	0.562504	-9.08826e-005	-179.798	-4.27666e-006	-162.923	0.00247909	-0.0156251	1276.53	0
+6.89260010E-02	-9.92637088E-01	0.00175977	0.515629	-9.08603e-005	-179.798	-4.12765e-006	-170.235	0.00247957	0.0781255	1276.84	0
+6.89281613E-02	-9.92640272E-01	0.00175834	0.500004	-9.08379e-005	-179.798	-4.02521e-006	-174.626	0.00247957	0.00781256	1277.16	0
+6.89282300E-02	-9.92638013E-01	0.00175834	0.539066	-9.08156e-005	-179.798	-3.90972e-006	-176.821	0.00248004	0	1277.45	0
+6.89254849E-02	-9.92635801E-01	0.00175811	0.515629	-9.07932e-005	-179.79	-3.78863e-006	-178.313	0.00247957	0	1277.77	0
+6.89253062E-02	-9.92638245E-01	0.00175787	0.515629	-9.07932e-005	-179.79	-3.68433e-006	-179.665	0.00247957	0	1278.09	0
+6.89261322E-02	-9.92636696E-01	0.00175906	0.523441	-9.07858e-005	-179.79	-3.62472e-006	179.673	0.00247957	0.117188	1278.41	0
+6.89241266E-02	-9.92637640E-01	0.00175858	0.515629	-9.07709e-005	-179.798	-3.60051e-006	179.485	0.00247718	0.070313	1278.72	0
+6.88914664E-02	-9.92720173E-01	0.00175858	0.523441	-9.08305e-005	-179.821	-3.63404e-006	178.759	0.00247957	0.140626	1279.02	0
+6.88680661E-02	-9.92751379E-01	0.00175811	0.515629	-9.10168e-005	-179.876	-3.75883e-006	177.681	0.00247933	-0.125001	1279.34	0
+6.89148252E-02	-9.92648577E-01	0.00175858	0.515629	-9.10838e-005	-179.899	-3.81659e-006	177.54	0.00248004	0.0546877	1279.64	0
+6.89289390E-02	-9.92632795E-01	0.00175858	0.507816	-9.10168e-005	-179.899	-3.79236e-006	177.954	0.00247933	0.085938	1279.95	0
+6.89264178E-02	-9.92638924E-01	0.00175787	0.523441	-9.08901e-005	-179.876	-3.77373e-006	178.649	0.00247981	0.132813	1280.27	0
+6.89291361E-02	-9.92636535E-01	0.00175811	0.515629	-9.08081e-005	-179.853	-3.77001e-006	179.485	0.00247909	0.0156251	1280.59	0
+6.89287418E-02	-9.92637381E-01	0.00175858	0.515629	-9.07634e-005	-179.821	-3.76256e-006	-179.923	0.00247885	0.0312502	1280.91	0
+6.89239162E-02	-9.92636381E-01	0.00175858	0.523441	-9.07634e-005	-179.813	-3.76442e-006	-179.72	0.00247957	-0.156251	1281.22	0
+6.89269743E-02	-9.92635239E-01	0.00175763	0.515629	-9.08007e-005	-179.806	-3.7905e-006	-179.853	0.00247933	-0.0390627	1281.53	0
+6.89248504E-02	-9.92636702E-01	0.00175787	0.523441	-9.08603e-005	-179.798	-3.80726e-006	-179.978	0.00247909	-0.0546877	1281.83	0
+6.89246538E-02	-9.92637239E-01	0.00175811	0.507816	-9.09125e-005	-179.798	-3.82218e-006	179.845	0.00247909	-0.148438	1282.14	0
+6.89232307E-02	-9.92638838E-01	0.00175787	0.539066	-9.09572e-005	-179.798	-3.86874e-006	179.845	0.00247909	-0.00781256	1282.47	0
+6.89231966E-02	-9.92635353E-01	0.00175858	0.515629	-9.09646e-005	-179.798	-3.87806e-006	179.845	0.00247957	0.00781256	1282.78	0
+6.89227213E-02	-9.92635477E-01	0.00175763	0.523441	-9.09423e-005	-179.782	-3.8408e-006	179.642	0.00247957	-0.0390627	1283.08	0
+6.89241249E-02	-9.92635730E-01	0.00175763	0.515629	-9.08901e-005	-179.774	-3.81659e-006	179.587	0.00247909	0.0390627	1283.39	0
+6.89232486E-02	-9.92638729E-01	0.00175763	0.523441	-9.08379e-005	-179.759	-3.82404e-006	179.767	0.00247957	0.0312502	1283.72	0
+6.89225272E-02	-9.92635847E-01	0.00175787	0.515629	-9.08007e-005	-179.759	-3.82218e-006	179.915	0.00247957	0.085938	1284.02	0
+6.89234460E-02	-9.92637526E-01	0.00175763	0.507816	-9.07709e-005	-179.767	-3.79422e-006	179.915	0.00247933	0.0468752	1284.34	0
+6.89256063E-02	-9.92637878E-01	0.00175858	0.515629	-9.07634e-005	-179.774	-3.77373e-006	179.892	0.00247957	0.070313	1284.64	0
+6.89243927E-02	-9.92636723E-01	0.00175858	0.523441	-9.07634e-005	-179.79	-3.76815e-006	179.97	0.00247933	0.0234376	1284.97	0
+6.89231612E-02	-9.92636004E-01	0.00175811	0.531254	-9.07858e-005	-179.798	-3.75883e-006	179.946	0.00247933	0	1285.27	0
+6.89215370E-02	-9.92639442E-01	0.00175787	0.515629	-9.07932e-005	-179.806	-3.74579e-006	179.868	0.00247933	0	1285.58	0
+6.89262235E-02	-9.92636992E-01	0.00175858	0.515629	-9.07932e-005	-179.798	-3.75511e-006	179.993	0.00247885	0	1285.89	0
+6.89269473E-02	-9.92638097E-01	0.00175858	0.523441	-9.08156e-005	-179.798	-3.81659e-006	179.712	0.00247933	0.0234376	1286.22	0
+6.89256723E-02	-9.92636585E-01	0.00175858	0.515629	-9.08379e-005	-179.798	-3.89668e-006	179.431	0.00247885	0.109375	1286.53	0
+6.89268490E-02	-9.92636196E-01	0.00175811	0.515629	-9.08677e-005	-179.798	-3.97864e-006	179.251	0.00247909	0.101563	1286.84	0
+6.89282303E-02	-9.92637449E-01	0.00175787	0.515629	-9.08826e-005	-179.798	-4.04756e-006	179.306	0.00247909	0.085938	1287.14	0
+6.89275478E-02	-9.92636178E-01	0.00175787	0.523441	-9.0905e-005	-179.813	-4.11834e-006	179.407	0.00247909	0.117188	1287.47	0
+6.89240213E-02	-9.92638192E-01	0.00175906	0.523441	-9.09199e-005	-179.813	-4.14441e-006	179.626	0.00247909	-0.0234376	1287.77	0
