temperature	field	S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	Time	Sweep var
+2.57039866E+00	-9.93035844E-01	0.00185228	0.515629	-9.67686e-005	178.938	8.18452e-006	1.28126	0.00389101	0.0156251	62	0
+2.57040150E+00	-9.93035542E-01	0.00185228	0.515629	-9.65823e-005	-179.759	8.18452e-006	1.32813	0.00389053	0.0156251	62.328	0
+2.57039758E+00	-9.93039776E-01	0.00185204	0.515629	-9.63663e-005	-179.532	8.1957e-006	1.3672	0.00389053	0.00781256	62.64	0
+2.57039911E+00	-9.93039578E-01	0.00185204	0.523441	-9.79607e-005	-179.36	8.19942e-006	1.39063	0.00389053	0.00781256	62.937	0
+2.57040116E+00	-9.93037202E-01	0.00185228	0.515629	-9.77297e-005	-179.884	8.23668e-006	1.3672	0.00389053	0.00781256	63.25	0
+2.57039434E+00	-9.93038782E-01	0.00185228	0.515629	-9.61353e-005	-179.188	8.28883e-006	1.28907	0.00389053	0.00781256	63.562	0
+2.57039224E+00	-9.93034116E-01	0.00185228	0.515629	-9.83258e-005	179.118	8.3e-006	1.26563	0.00389053	0.00781256	63.875	0
+2.57039525E+00	-9.93035771E-01	0.00185228	0.515629	-9.56436e-005	179.673	8.29255e-006	1.23438	0.00389053	0.00781256	64.187	0
+2.57039724E+00	-9.93036736E-01	0.00185228	0.515629	-9.57479e-005	179.899	8.26648e-006	1.28907	0.00389053	0.00781256	64.5	0
+2.57039627E+00	-9.93033810E-01	0.00185228	0.515629	-9.47569e-005	-179.54	8.24413e-006	1.34376	0.00389053	0.00781256	64.828	0
+2.57039570E+00	-9.93032366E-01	0.00185228	0.515629	-9.60161e-005	-179.009	8.23295e-006	1.3672	0.00389101	0.00781256	65.125	0
+2.57039480E+00	-9.93032119E-01	0.00185228	0.515629	-9.39895e-005	-179.845	8.2255e-006	1.43751	0.00389101	0.00781256	65.453	0
+2.57039502E+00	-9.93031063E-01	0.00185228	0.515629	-9.52338e-005	-179.751	8.21432e-006	1.62501	0.00389101	0.00781256	65.75	0
+2.57039417E+00	-9.93031409E-01	0.00185228	0.515629	-9.81097e-005	179.688	8.19197e-006	1.6797	0.00389101	0.0156251	66.062	0
+2.57039548E+00	-9.93032668E-01	0.00185228	0.515629	-9.48538e-005	-179.087	8.17335e-006	1.56251	0.00389101	0.0156251	66.39	0
+2.57039701E+00	-9.93032043E-01	0.00185228	0.515629	-9.50252e-005	179.868	8.17335e-006	1.4922	0.00389101	0.0156251	66.687	0
+2.57039491E+00	-9.93030221E-01	0.00185228	0.515629	-9.62545e-005	179.907	8.17707e-006	1.51563	0.00389101	0.00781256	67	0
+2.57039741E+00	-9.93029857E-01	0.00185204	0.523441	-9.8743e-005	-179.47	8.1957e-006	1.48438	0.00389101	0.0156251	67.312	0
+2.57039673E+00	-9.93032566E-01	0.00185228	0.515629	-9.57404e-005	-178.563	8.21805e-006	1.43751	0.00389101	0.0156251	67.625	0
+2.57039326E+00	-9.93031554E-01	0.00185252	0.515629	-9.65078e-005	-178.438	8.2255e-006	1.41407	0.00389101	0.0156251	67.937	0
+2.57039377E+00	-9.93032227E-01	0.00185228	0.515629	-9.81991e-005	179.384	8.20315e-006	1.42188	0.00389101	0.00781256	68.25	0
+2.57039372E+00	-9.93031455E-01	0.00185204	0.523441	-9.86685e-005	-179.313	8.1808e-006	1.34376	0.00389101	0.00781256	68.562	0
+2.57039934E+00	-9.93030227E-01	0.00185204	0.515629	-9.73721e-005	179.603	8.16962e-006	1.25782	0.00389101	0.00781256	68.89	0
+2.57039343E+00	-9.93034358E-01	0.0018518	0.515629	-9.69325e-005	-179.103	8.17707e-006	1.09376	0.00389101	0.00781256	69.187	0
+2.57043418E+00	-9.92953765E-01	0.0018518	0.523441	-9.75435e-005	-179.735	8.20315e-006	0.882816	0.00389101	0.00781256	69.515	0
+2.57049021E+00	-9.92852642E-01	0.00186682	0.640629	-9.72007e-005	178.806	7.65926e-006	2.48439	0.00389101	0.00781256	69.812	0
+2.57049242E+00	-9.92853382E-01	0.00184227	0.640629	-9.50624e-005	-179.384	4.12765e-006	28.3595	0.00389053	0.00781256	70.14	0
+2.57050816E+00	-9.92819201E-01	0.0018561	0.734379	-9.69847e-005	179.243	2.1197e-006	58.0315	0.00389053	0	70.437	0
+2.57058255E+00	-9.92684243E-01	0.0018518	0.343752	-9.58745e-005	179.798	2.47733e-006	52.4456	0.00389101	0.00781256	70.765	0
+2.57058352E+00	-9.92685224E-01	0.00184775	0.539066	-9.65451e-005	179.938	3.90786e-006	31.6798	0.00389148	0.00781256	71.062	0
+2.57058050E+00	-9.92686268E-01	0.00185538	0.546879	-9.64482e-005	-179.899	5.4166e-006	16.1173	0.00389148	0.00781256	71.39	0
+2.57058335E+00	-9.92687262E-01	0.00185347	0.453127	-9.89591e-005	179.438	6.47831e-006	8.65631	0.00389148	0.00781256	71.687	0
+2.57057891E+00	-9.92686953E-01	0.00185109	0.562504	-9.6627e-005	179.345	7.22337e-006	4.79691	0.00389148	0.0156251	72	0
+2.57058045E+00	-9.92685077E-01	0.00185228	0.484377	-9.63067e-005	178.337	7.69278e-006	2.82033	0.00389148	0.0156251	72.328	0
+2.57057726E+00	-9.92683910E-01	0.00185228	0.492189	-9.89591e-005	179.946	7.9163e-006	1.82813	0.00389148	0.0156251	72.625	0
+2.57058050E+00	-9.92684892E-01	0.00185276	0.539066	-9.70145e-005	-179.876	8.05041e-006	1.25001	0.00389101	0.0156251	72.953	0
+2.57058266E+00	-9.92685466E-01	0.00185276	0.515629	-9.8363e-005	-179.235	8.11374e-006	1.21876	0.00389053	0.0156251	73.25	0
