S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	temperature	field	Time	Sweep var
0.00262786	0.250002	-0.00112558	-179.595	2.62094e-005	0.875004	0.00384046	0	+7.50484453E+00	-9.93078895E-01	46.594	0
0.00263001	0.257814	-0.00112582	-179.595	2.62299e-005	0.890629	0.00384046	0.148438	+7.50484322E+00	-9.93077858E-01	46.907	0
0.00262929	0.242188	-0.00112534	-179.603	2.62671e-005	0.921879	0.00384189	-0.0390627	+7.50484436E+00	-9.93077136E-01	47.235	0
0.0026281	0.234376	-0.00112391	-179.603	2.62839e-005	0.945316	0.00384142	0	+7.50484226E+00	-9.93080716E-01	47.532	0
0.00262763	0.242188	-0.00112272	-179.595	2.62802e-005	0.929691	0.00383998	0.101563	+7.50483993E+00	-9.93080456E-01	47.86	0
0.00262906	0.250002	-0.00112177	-179.595	2.62765e-005	0.929691	0.00384046	-0.0781255	+7.50483396E+00	-9.93077407E-01	48.172	0
0.00262834	0.242188	-0.00112105	-179.587	2.62839e-005	0.945316	0.00384046	0.0468752	+7.50483532E+00	-9.93077414E-01	48.469	0
0.00262858	0.250002	-0.00112034	-179.579	2.63118e-005	0.953129	0.00383951	-0.00781256	+7.50484072E+00	-9.93078969E-01	48.797	0
0.00262715	0.250002	-0.00111986	-179.579	2.63472e-005	0.976566	0.00383998	0.109375	+7.50484430E+00	-9.93075692E-01	49.094	0
0.00262858	0.242188	-0.00111986	-179.579	2.63919e-005	1.02345	0.00383951	-0.0546877	+7.50484595E+00	-9.93075485E-01	49.422	0
0.00262786	0.250002	-0.00111962	-179.595	2.64124e-005	1.01563	0.00383998	0	+7.50484379E+00	-9.93073856E-01	49.719	0
0.0026281	0.242188	-0.00111962	-179.595	2.64255e-005	1.01563	0.00383855	0.0468752	+7.50484021E+00	-9.93076664E-01	50.032	0
0.00262739	0.234376	-0.00111986	-179.595	2.6446e-005	1.07813	0.00383951	0.140626	+7.50484032E+00	-9.93080910E-01	50.36	0
0.00262715	0.234376	-0.00111986	-179.579	2.64907e-005	1.0547	0.00384046	0.0390627	+7.50483958E+00	-9.93075269E-01	50.657	0
0.0026281	0.250002	-0.00112034	-179.579	2.65335e-005	1.02345	0.00384046	0.117188	+7.50483868E+00	-9.93075349E-01	50.985	0
0.00262739	0.242188	-0.00112057	-179.579	2.65372e-005	0.953129	0.00384094	0.0781255	+7.50484021E+00	-9.93075948E-01	51.297	0
0.00262715	0.242188	-0.00112105	-179.595	2.65074e-005	0.828129	0.00384142	-0.0546877	+7.50491943E+00	-9.92925109E-01	51.594	0
0.00263025	0.195313	-0.00112057	-179.595	2.74574e-005	0.921879	0.00384332	0.0468752	+7.50493312E+00	-9.92894955E-01	51.922	0
0.00263335	0.335939	-0.0011201	-179.571	3.43288e-005	0.562504	0.0038438	0.0156251	+7.50493988E+00	-9.92895178E-01	52.219	0
0.00263478	0.203126	-0.0011201	-179.556	3.8719e-005	0.125001	0.00384285	0.00781256	+7.50499449E+00	-9.92798017E-01	52.532	0
0.00263144	0.257814	-0.00112057	-179.548	3.80485e-005	-0.00781256	0.00384285	-0.109375	+7.50502080E+00	-9.92731797E-01	52.86	0
0.00263502	0.265627	-0.00112129	-179.548	3.50031e-005	0.085938	0.00384428	-0.109375	+7.50502558E+00	-9.92734747E-01	53.157	0
0.00263263	0.234376	-0.00112153	-179.556	3.18757e-005	0.304689	0.0038438	0.0312502	+7.50502444E+00	-9.92732106E-01	53.485	0
0.00263144	0.273439	-0.00112153	-179.563	2.9564e-005	0.539066	0.00384523	0.0234376	+7.50502217E+00	-9.92731439E-01	53.782	0
0.00263239	0.257814	-0.00112105	-179.563	2.81447e-005	0.695316	0.00384428	0.140626	+7.50502569E+00	-9.92730687E-01	54.11	0
0.00263239	0.234376	-0.00112034	-179.571	2.73568e-005	0.742191	0.00384237	0.00781256	+7.50502393E+00	-9.92727196E-01	54.422	0
