S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	temperature	field	Time	Sweep var
0.00220658	0.437502	-0.000913624	179.892	-4.85781e-006	161.212	0.00498775	0.085938	+1.00067739E+01	+6.18803562E-03	27.734	0
0.00220563	0.429689	-0.000913266	179.892	-4.84104e-006	161.095	0.00498703	-0.0937505	+1.00067776E+01	+6.18941305E-03	28.031	0
0.0022061	0.429689	-0.000913028	179.892	-4.82614e-006	161.063	0.00498822	0.0625005	+1.00067775E+01	+6.18926069E-03	28.359	0
0.00220515	0.421877	-0.000912908	179.892	-4.80007e-006	161.056	0.00498846	0.0937505	+1.00067776E+01	+6.19121215E-03	28.671	0
0.00220825	0.429689	-0.000912908	179.892	-4.77771e-006	161.079	0.00498632	0.125001	+1.00067779E+01	+6.18694332E-03	28.984	0
0.00220658	0.437502	-0.000912908	179.892	-4.77399e-006	161.017	0.00498775	0.0390627	+1.00067768E+01	+6.18457813E-03	29.296	0
0.00220658	0.429689	-0.000912908	179.892	-4.76468e-006	160.868	0.00498608	0.156251	+1.00067790E+01	+6.18543326E-03	29.593	0
0.00220658	0.421877	-0.000913028	179.892	-4.74791e-006	160.696	0.00498775	0.132813	+1.00067787E+01	+6.18814034E-03	29.906	0
0.00220515	0.437502	-0.000913266	179.892	-4.73115e-006	160.524	0.00498751	0.0781255	+1.00067784E+01	+6.18753708E-03	30.234	0
0.00220777	0.429689	-0.000913505	179.892	-4.71811e-006	160.571	0.00498608	0.109375	+1.00067766E+01	+6.18597243E-03	30.546	0
0.00220706	0.421877	-0.000913624	179.892	-4.71252e-006	160.673	0.00498822	0.156251	+1.00067783E+01	+6.18882175E-03	30.859	0
0.00220658	0.421877	-0.000913743	179.892	-4.70321e-006	160.548	0.00498703	0.257814	+1.00067762E+01	+6.19032681E-03	31.171	0
0.00220777	0.429689	-0.000913743	179.892	-4.69948e-006	160.462	0.00498822	0.109375	+1.00028641E+01	+6.18895556E-03	31.484	0
0.00220706	0.437502	-0.000913743	179.892	-4.71625e-006	160.415	0.0049887	0.0937505	+1.00018950E+01	+6.18880601E-03	31.796	0
0.00220729	0.421877	-0.000913862	179.892	-4.71252e-006	160.384	0.00498798	0.0937505	+1.00041121E+01	+6.18396531E-03	32.109	0
0.00220706	0.429689	-0.000914101	179.892	-4.7088e-006	160.571	0.00498703	0.257814	+1.00067830E+01	+6.18483000E-03	32.406	0
0.00220777	0.437502	-0.00091422	179.892	-4.71438e-006	160.735	0.00498775	0.0468752	+1.00067790E+01	+6.18900616E-03	32.734	0
0.00220706	0.437502	-0.000914339	179.892	-4.70693e-006	160.728	0.00498632	0	+1.00018978E+01	+6.18848273E-03	33.031	0
0.00220682	0.421877	-0.00091422	179.892	-4.75536e-006	160.821	0.00498775	0.0156251	+1.00067787E+01	+6.18816452E-03	33.343	0
0.0022061	0.421877	-0.00091422	179.892	-4.8932e-006	161.095	0.00498751	0.0234376	+1.00067784E+01	+6.18848554E-03	33.656	0
0.00220682	0.437502	-0.000914101	179.892	-4.95839e-006	161.376	0.00498775	0.0234376	+1.00067765E+01	+6.18722055E-03	33.984	0
0.00220658	0.429689	-0.000914101	179.892	-4.93976e-006	161.462	0.0049887	0.125001	+1.00040756E+01	+6.18534387E-03	34.296	0
0.00220706	0.421877	-0.000914101	179.892	-4.87643e-006	161.274	0.00498798	0.101563	+1.00018922E+01	+6.18377921E-03	34.593	0
0.00220658	0.421877	-0.000913981	179.892	-4.81497e-006	161.103	0.00498894	0.070313	+1.00031391E+01	+6.18210830E-03	34.906	0
0.00220777	0.437502	-0.000913743	179.892	-4.76654e-006	161.11	0.00498894	0.210938	+1.00062843E+01	+6.18142802E-03	35.234	0
0.00220801	0.437502	-0.000913505	179.892	-4.73487e-006	161.009	0.00498846	0.0390627	+1.00018950E+01	+6.18288247E-03	35.531	0
0.00220801	0.421877	-0.000913266	179.892	-4.72742e-006	160.86	0.00498942	-0.0156251	+1.00018950E+01	+6.18645537E-03	35.843	0
0.00220825	0.429689	-0.000913028	179.892	-4.73301e-006	160.681	0.00499061	-0.0625005	+1.00018998E+01	+6.18356669E-03	36.187	0
0.00220777	0.437502	-0.000912789	179.892	-4.74419e-006	160.915	0.00498894	-0.0625005	+1.00018985E+01	+6.18278722E-03	36.468	0
0.00220825	0.429689	-0.000912908	179.892	-4.74605e-006	161.032	0.00498798	0.0234376	+1.00018965E+01	+6.18377779E-03	36.796	0
0.00220944	0.421877	-0.000913028	179.892	-4.73115e-006	161.048	0.00498822	0.0234376	+1.00018940E+01	+6.18587767E-03	37.093	0
0.00220992	0.437502	-0.000913147	179.892	-4.73487e-006	161.149	0.00498632	0.0546877	+1.00018932E+01	+6.18480384E-03	37.421	0
0.00220777	0.437502	-0.000913147	179.892	-4.80007e-006	161.29	0.00498751	0.0312502	+1.00018983E+01	+6.18251505E-03	37.734	0
0.00220872	0.429689	-0.000913028	179.892	-4.88575e-006	161.228	0.00498775	-0.140626	+1.00018937E+01	+6.18507988E-03	38.046	0
0.00220896	0.421877	-0.000912908	179.892	-4.95653e-006	161.353	0.00498441	0.0312502	+1.00018981E+01	+6.18452891E-03	38.359	0
0.00220896	0.429689	-0.000912908	179.892	-5.601e-006	163.431	0.00498894	0.148438	+1.00018998E+01	+6.18366366E-03	38.656	0
0.0022092	0.421877	-0.000912908	179.892	-6.77074e-006	166.267	0.00498989	-0.0156251	+1.00048274E+01	+6.18183954E-03	38.968	0
0.00220872	0.414064	-0.000913028	179.892	-7.3165e-006	167.196	0.00498536	-0.0156251	+1.00067837E+01	+6.18237414E-03	39.296	0
0.00220944	0.414064	-0.000913266	179.899	-7.04642e-006	166.657	0.00498775	-0.0156251	+1.00067809E+01	+6.18546353E-03	39.593	0
0.00220825	0.429689	-0.000913505	179.899	-6.43547e-006	165.415	0.00498417	0.0937505	+1.00067769E+01	+6.18513856E-03	39.906	0
0.00220872	0.429689	-0.000913505	179.899	-5.87109e-006	164.188	0.00498918	0.273439	+1.00067781E+01	+6.18565749E-03	40.218	0
0.00220753	0.421877	-0.000913624	179.899	-5.48924e-006	163.345	0.00498822	0.0468752	+1.00067761E+01	+6.18551300E-03	40.531	0
0.00220825	0.429689	-0.000913743	179.899	-5.23034e-006	162.782	0.0049887	0.0468752	+1.00067723E+01	+6.18463763E-03	40.859	0
0.00220729	0.421877	-0.000913981	179.892	-5.07387e-006	162.298	0.00498942	0.273439	+1.00067735E+01	+6.18680217E-03	41.171	0
0.00220777	0.429689	-0.000914101	179.892	-4.9677e-006	162.017	0.00498798	0.070313	+1.00067758E+01	+6.18856493E-03	41.484	0
0.00220777	0.421877	-0.000914101	179.899	-4.88575e-006	161.665	0.00498822	0.0234376	+1.00067768E+01	+6.19202502E-03	41.796	0
0.00220801	0.421877	-0.000913981	179.892	-4.81497e-006	161.103	0.00498822	-0.00781256	+1.00067790E+01	+6.18862361E-03	42.093	0
0.00220658	0.437502	-0.000913862	179.892	-4.76281e-006	160.774	0.00498727	0.00781256	+1.00067852E+01	+6.18765322E-03	42.421	0
0.00220658	0.429689	-0.000913862	179.892	-4.73487e-006	160.501	0.00498703	-0.00781256	+1.00067855E+01	+6.18558595E-03	42.718	0
0.00220729	0.421877	-0.000913981	179.892	-4.72556e-006	160.204	0.00498727	0.179688	+1.00067877E+01	+6.18537005E-03	43.031	0
0.00220753	0.437502	-0.000914339	179.892	-4.72556e-006	159.954	0.00498584	0.140626	+1.00067867E+01	+6.18552635E-03	43.359	0
0.00220729	0.437502	-0.000914577	179.892	-4.74605e-006	159.751	0.00498703	-0.0312502	+1.00067835E+01	+6.18583557E-03	43.671	0
0.00220658	0.437502	-0.000914697	179.892	-4.75536e-006	159.767	0.00498775	-0.0781255	+1.00067761E+01	+6.18491768E-03	43.968	0
0.00220729	0.421877	-0.000914697	179.892	-4.78516e-006	160.134	0.00498655	0.0390627	+1.00067808E+01	+6.18498627E-03	44.296	0
0.00220777	0.421877	-0.000914697	179.892	-4.83546e-006	160.603	0.00498798	0.0546877	+1.00067785E+01	+6.18508128E-03	44.593	0
0.00220634	0.437502	-0.000914577	179.899	-4.86153e-006	160.985	0.00498703	0.0234376	+1.00067803E+01	+6.18542817E-03	44.921	0
0.00220682	0.437502	-0.000914458	179.899	-4.8634e-006	161.196	0.00498727	0.117188	+1.00067763E+01	+6.19029304E-03	45.218	0
0.00220729	0.429689	-0.00091422	179.892	-4.86712e-006	161.157	0.00498703	0.117188	+1.00067802E+01	+6.18905954E-03	45.546	0
0.00220777	0.437502	-0.000913743	179.892	-4.85595e-006	161.063	0.00498775	-0.0312502	+1.00067776E+01	+6.18552375E-03	45.859	0
0.00220849	0.429689	-0.000913147	179.892	-4.83732e-006	161.032	0.00498775	0.0156251	+1.00067755E+01	+6.18475014E-03	46.156	0
0.00220777	0.429689	-0.00091267	179.892	-4.80007e-006	161.056	0.00498584	0.070313	+1.00067727E+01	+6.18330356E-03	46.484	0
0.00220825	0.421877	-0.000912432	179.892	-4.7833e-006	161.204	0.00498679	0.0390627	+1.00067838E+01	+6.18542481E-03	46.781	0
0.00220729	0.437502	-0.000912193	179.892	-4.7982e-006	161.321	0.00498775	0	+1.00067772E+01	+6.18620629E-03	47.109	0
0.00220729	0.429689	-0.000912193	179.892	-4.82614e-006	161.454	0.00498703	0	+1.00067777E+01	+6.18649640E-03	47.406	0
0.00220753	0.421877	-0.000912312	179.892	-4.83173e-006	161.649	0.00498775	0.164063	+1.00067830E+01	+6.18542650E-03	47.718	0
0.00220777	0.421877	-0.000912551	179.892	-4.81869e-006	161.532	0.00498727	0.125001	+1.00067795E+01	+6.18934403E-03	48.031	0
0.00220825	0.429689	-0.000912551	179.892	-4.7833e-006	161.298	0.00498751	0.070313	+1.00067706E+01	+6.18724021E-03	48.359	0
0.00220825	0.437502	-0.000912312	179.892	-4.76654e-006	161.126	0.00498751	0.0156251	+1.00067747E+01	+6.18740408E-03	48.671	0
0.00220777	0.429689	-0.000911955	179.892	-4.77958e-006	160.907	0.00498632	0.00781256	+1.00067733E+01	+6.18632077E-03	48.984	0
0.00220801	0.429689	-0.000911836	179.892	-4.79448e-006	160.681	0.00498536	0.148438	+1.00067810E+01	+6.18208502E-03	49.296	0
0.00220729	0.437502	-0.000911716	179.892	-4.79634e-006	160.665	0.00498727	0.00781256	+1.00067770E+01	+6.18650293E-03	49.593	0
0.00220777	0.437502	-0.000911597	179.892	-4.79448e-006	160.681	0.00498274	-0.117188	+1.00067792E+01	+6.19031477E-03	49.921	0
0.00220777	0.429689	-0.000911478	179.892	-4.7982e-006	160.587	0.00498679	0.0468752	+1.00067818E+01	+6.18833407E-03	50.218	0
0.00220777	0.437502	-0.000911359	179.892	-4.81124e-006	160.478	0.00498727	0.0937505	+1.00067806E+01	+6.18477355E-03	50.546	0
0.00220777	0.437502	-0.00091112	179.892	-4.81124e-006	160.524	0.00498751	-0.0156251	+1.00067859E+01	+6.18788149E-03	50.843	0
0.00220825	0.421877	-0.000911001	179.892	-4.80193e-006	160.798	0.00498608	0.0312502	+1.00067907E+01	+6.18997631E-03	51.156	0
0.0022061	0.421877	-0.000911001	179.892	-4.7982e-006	161.149	0.00498775	0.0468752	+1.00067842E+01	+6.18695833E-03	51.484	0
0.00220777	0.429689	-0.00091124	179.892	-4.79075e-006	161.54	0.00498703	0.0468752	+1.00067847E+01	+6.18858089E-03	51.796	0
0.00220777	0.437502	-0.000911478	179.892	-4.82055e-006	161.61	0.00498679	0.117188	+1.00067795E+01	+6.18699768E-03	52.093	0
0.00220777	0.437502	-0.000911955	179.892	-4.85781e-006	161.212	0.00498655	0.070313	+1.00067786E+01	+6.18611388E-03	52.421	0
0.00220753	0.421877	-0.000912312	179.892	-4.85222e-006	160.892	0.00498608	0.101563	+1.00067731E+01	+6.18730465E-03	52.734	0
0.00220801	0.437502	-0.000912432	179.892	-4.81124e-006	160.774	0.00498632	0.195313	+1.00067798E+01	+6.18610882E-03	53.031	0
0.00220729	0.437502	-0.000912908	179.892	-4.78144e-006	160.735	0.00498679	0.101563	+1.00067803E+01	+6.18695439E-03	53.359	0
0.00220706	0.429689	-0.000913505	179.892	-4.79075e-006	160.735	0.00498608	0.0312502	+1.00067750E+01	+6.18618215E-03	53.656	0
0.00220729	0.429689	-0.000913862	179.892	-4.7982e-006	160.657	0.00498775	0.109375	+1.00067773E+01	+6.18658960E-03	53.984	0
0.00220563	0.429689	-0.000914101	179.892	-4.80752e-006	160.907	0.00498822	-0.0156251	+1.00067860E+01	+6.18708097E-03	54.281	0
0.0022061	0.429689	-0.00091422	179.892	-4.81683e-006	161.134	0.00498727	0	+1.00067775E+01	+6.18561640E-03	54.609	0
