S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	temperature	field	Time	Sweep var
0.00212051	0.421877	-0.000822071	179.892	-9.66719e-006	179.649	0.00302316	-0.0312502	+2.50171513E+00	+1.00492941E+00	4.328	0
0.00211979	0.414064	-0.000822548	179.892	-9.67277e-006	179.579	0.00302507	0.0781255	+2.50171354E+00	+1.00493001E+00	4.625	0
0.00211979	0.429689	-0.000823025	179.899	-9.66719e-006	179.517	0.00302602	0.164063	+2.50171507E+00	+1.00493258E+00	4.953	0
0.00212027	0.429689	-0.00082374	179.899	-9.65601e-006	179.532	0.00302698	-0.0546877	+2.50171479E+00	+1.00492918E+00	5.25	0
0.00212027	0.406252	-0.000824217	179.899	-9.64111e-006	179.626	0.00302602	-0.0546877	+2.50172110E+00	+1.00492836E+00	5.578	0
0.00212122	0.421877	-0.000824217	179.907	-9.62993e-006	179.743	0.00302459	0.00781256	+2.50171718E+00	+1.00492903E+00	5.89	0
0.00212385	0.429689	-0.000824217	179.907	-9.63738e-006	179.813	0.00302412	-0.0781255	+2.50171956E+00	+1.00493324E+00	6.203	0
0.00211956	0.421877	-0.000823501	179.907	-9.63738e-006	179.845	0.00302459	0.0156251	+2.50171837E+00	+1.00493209E+00	6.515	0
0.00212146	0.421877	-0.000822786	179.899	-9.61131e-006	179.853	0.00302459	0.085938	+2.50172025E+00	+1.00493430E+00	6.812	0
0.00212003	0.429689	-0.000823025	179.899	-9.58523e-006	179.892	0.00302459	0.0234376	+2.50171831E+00	+1.00493090E+00	7.14	0
0.00212027	0.421877	-0.000823978	179.899	-9.58709e-006	179.923	0.00302412	0.0546877	+2.50171218E+00	+1.00492772E+00	7.437	0
0.00212432	0.421877	-0.000824694	179.899	-9.59827e-006	179.962	0.00302412	-0.0234376	+2.50171479E+00	+1.00492901E+00	7.765	0
0.00212075	0.414064	-0.000824455	179.892	-9.60758e-006	179.962	0.00302412	0.0156251	+2.50177224E+00	+1.00504102E+00	8.062	0
0.00212218	0.257814	-0.000824455	179.892	-9.5517e-006	179.993	0.00301792	-0.0468752	+2.50181145E+00	+1.00510548E+00	8.39	0
0.00211836	0.445314	-0.000824694	179.907	-8.04669e-006	-174.985	0.00301839	0.101563	+2.50181100E+00	+1.00510691E+00	8.687	0
0.00212242	0.437502	-0.000825409	179.931	-6.60124e-006	-167.282	0.00301935	0.0234376	+2.50184225E+00	+1.00519202E+00	9.015	0
0.00212218	0.398439	-0.000826601	179.946	-6.52301e-006	-166.329	0.00301887	0.00781256	+2.50190129E+00	+1.00527377E+00	9.343	0
0.00212003	0.445314	-0.000826839	179.931	-7.24572e-006	-170.251	0.00302078	0.0390627	+2.50190561E+00	+1.00527202E+00	9.64	0
0.0021217	0.437502	-0.000826601	179.931	-8.06345e-006	-174.142	0.00301982	-0.0546877	+2.50190357E+00	+1.00527387E+00	9.937	0
0.00212146	0.429689	-0.000825886	179.923	-8.70979e-006	-176.821	0.00301887	0.070313	+2.50190124E+00	+1.00527342E+00	10.265	0
0.00212099	0.437502	-0.000824694	179.923	-9.11771e-006	-178.298	0.00301887	-0.0625005	+2.50189896E+00	+1.00527227E+00	10.578	0
0.00212575	0.429689	-0.000823501	179.907	-9.35799e-006	-179.165	0.00301887	0.00781256	+2.50190328E+00	+1.00527608E+00	10.89	0
0.00212575	0.421877	-0.000822071	179.899	-9.46975e-006	-179.767	0.00301792	0.0234376	+2.50190101E+00	+1.00527404E+00	11.203	0
0.00212575	0.429689	-0.000818495	179.892	-9.51817e-006	179.853	0.00302126	0	+2.50190226E+00	+1.00527344E+00	11.5	0
0.0021217	0.414064	-0.000813249	179.884	-9.54798e-006	179.673	0.00302126	-0.109375	+2.50190482E+00	+1.00527120E+00	11.828	0
0.00212075	0.429689	-0.00081015	179.868	-9.58337e-006	179.634	0.00301935	-0.0937505	+2.50190425E+00	+1.00527523E+00	12.125	0
0.00212099	0.429689	-0.000810865	179.868	-9.60572e-006	179.688	0.00301792	-0.0234376	+2.50190414E+00	+1.00527556E+00	12.437	0
0.00212075	0.421877	-0.000814442	179.876	-9.60199e-006	179.524	0.00302126	0.101563	+2.50184237E+00	+1.00516136E+00	12.765	0
0.00212099	0.437502	-0.000818018	179.868	-9.57405e-006	178.782	0.00301982	-0.0312502	+2.50186976E+00	+1.00521828E+00	13.062	0
0.00212099	0.437502	-0.000820879	179.868	-9.56102e-006	178.415	0.0030203	0.070313	+2.50190834E+00	+1.00527984E+00	13.39	0
0.00212146	0.421877	-0.000822548	179.876	-9.5666e-006	178.61	0.00301887	0.101563	+2.50190289E+00	+1.00527390E+00	13.687	0
