temperature	field	S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	Time	Sweep var
+1.00027690E+01	-9.93167466E-01	0.00253822	0.507816	-0.000120044	-179.665	2.34024e-005	1.81251	0.0049639	0.00781256	58.75	0
+1.00041964E+01	-9.93165476E-01	0.00253774	0.507816	-0.000119649	-178.813	2.33689e-005	1.78126	0.0049639	0.00781256	59.031	0
+1.00067755E+01	-9.93167500E-01	0.00253774	0.507816	-0.000119113	-179.595	2.33391e-005	1.73438	0.0049639	0.00781256	59.328	0
+1.00067776E+01	-9.93169080E-01	0.0025375	0.515629	-0.000120216	-179.61	2.3313e-005	1.71095	0.00496438	0.00781256	59.656	0
+1.00067782E+01	-9.93166562E-01	0.0025375	0.515629	-0.000121519	-179.282	2.33093e-005	1.75001	0.00496438	0	59.953	0
+1.00067774E+01	-9.93163871E-01	0.00253774	0.515629	-0.000121139	-179.306	2.32869e-005	1.8047	0.00496486	0.00781256	60.265	0
+1.00067827E+01	-9.93164840E-01	0.00253774	0.515629	-0.000119821	179.454	2.32683e-005	1.8047	0.00496438	0.00781256	60.594	0
+1.00067730E+01	-9.93162297E-01	0.00253774	0.507816	-0.000120722	-178.845	2.32832e-005	1.78907	0.00496438	0.00781256	60.89	0
+1.00033624E+01	-9.93161118E-01	0.00253774	0.515629	-0.000122503	179.915	2.33391e-005	1.75782	0.00496438	0.00781256	61.203	0
+1.00040767E+01	-9.93164272E-01	0.00253774	0.507816	-0.000121117	-179.72	2.33912e-005	1.7422	0.0049639	0	61.515	0
+1.00067736E+01	-9.93165408E-01	0.00253798	0.515629	-0.000119672	178.759	2.34098e-005	1.78907	0.0049639	0	61.844	0
+1.00067756E+01	-9.93164994E-01	0.00253798	0.515629	-0.000122019	179.048	2.34173e-005	1.84376	0.0049639	0.00781256	62.156	0
+1.00067734E+01	-9.93164969E-01	0.00253727	0.515629	-0.000121221	-179.345	2.33912e-005	1.88282	0.0049639	0.00781256	62.453	0
+1.00067782E+01	-9.93163068E-01	0.00253774	0.507816	-0.000118457	-179.454	2.33689e-005	1.89063	0.0049639	0.00781256	62.781	0
+1.00067753E+01	-9.93163735E-01	0.0025375	0.507816	-0.000121102	-179.399	2.33614e-005	1.90626	0.00496438	0.00781256	63.078	0
+1.00067760E+01	-9.93161766E-01	0.0025375	0.515629	-0.000121728	179.556	2.33502e-005	1.91407	0.00496438	0.00781256	63.406	0
+1.00041240E+01	-9.93162254E-01	0.00253798	0.507816	-0.000121288	-179.204	2.33502e-005	1.87501	0.00496438	0.00781256	63.719	0
+1.00033920E+01	-9.93163266E-01	0.00253798	0.507816	-0.000119262	-179.993	2.33689e-005	1.81251	0.00496438	0.00781256	64.031	0
+1.00053438E+01	-9.93163754E-01	0.00253822	0.507816	-0.000119716	179.36	2.33577e-005	1.79688	0.0049639	0	64.328	0
+1.00018918E+01	-9.93163217E-01	0.00253774	0.515629	-0.000120424	179.688	2.32981e-005	1.73438	0.0049639	0	64.64	0
+1.00068485E+01	-9.93028424E-01	0.00219633	1.5547	1.87234e-005	87.4692	2.32534e-005	1.64845	0.0049639	0	64.953	0
+1.00068732E+01	-9.92988337E-01	0.00258209	0.539066	-0.000128441	176.665	2.3611e-005	-1.14845	0.00496343	0.00781256	65.265	0
+1.00026968E+01	-9.92982498E-01	0.00251104	0.0312502	-0.000112668	-179.126	2.40245e-005	-5.05472	0.00496343	0.00781256	65.578	0
+1.00054913E+01	-9.92878103E-01	0.00254323	1.04688	-0.000127234	-178.665	2.4058e-005	-5.91409	0.00496343	0.00781256	65.89	0
+1.00045414E+01	-9.92815012E-01	0.00253989	0.109375	-0.000119232	178.642	2.38569e-005	-4.56253	0.0049639	0	66.203	0
+1.00035473E+01	-9.92816740E-01	0.00252439	0.546879	-0.000120372	-179.821	2.36185e-005	-2.6172	0.00496438	0	66.515	0
+1.00069560E+01	-9.92819079E-01	0.00254489	0.648441	-0.000121251	179.829	2.34136e-005	-0.875004	0.00496438	0	66.828	0
+1.00069566E+01	-9.92821653E-01	0.00253226	0.406252	-0.00011988	-178.915	2.32571e-005	0.359377	0.00496438	0	67.156	0
+1.00069574E+01	-9.92821690E-01	0.00253345	0.593754	-0.000120126	-179.259	2.31789e-005	1.01563	0.00496438	0.00781256	67.453	0
+1.00069638E+01	-9.92819098E-01	0.00253941	0.437502	-0.000123032	-179.743	2.31789e-005	1.41407	0.00496438	0.00781256	67.781	0
+1.00069662E+01	-9.92818987E-01	0.0025344	0.515629	-0.000120856	-179.36	2.32161e-005	1.57032	0.0049639	0.0156251	68.094	0
+1.00069619E+01	-9.92818079E-01	0.0025375	0.554691	-0.000119977	-179.853	2.32199e-005	1.60938	0.00496295	0.00781256	68.39	0
+1.00069641E+01	-9.92820026E-01	0.00253846	0.484377	-0.000119821	-179.938	2.32012e-005	1.64063	0.00496247	0.00781256	68.703	0
+1.00069587E+01	-9.92817962E-01	0.00253679	0.523441	-0.00012301	-178.907	2.31751e-005	1.6797	0.004962	0.00781256	69.031	0
+1.00069612E+01	-9.92816098E-01	0.00253727	0.523441	-0.000113719	179.392	2.31267e-005	1.64845	0.00496152	0.00781256	69.328	0
+1.00069069E+01	-9.92935632E-01	0.00253727	0.492189	-0.000121579	179.704	2.319e-005	1.72657	0.00496104	0.00781256	69.656	0
+1.00069129E+01	-9.92895434E-01	0.00253679	0.515629	-0.000121005	-179.392	2.32795e-005	1.8047	0.00496104	0.00781256	69.969	0
+1.00069583E+01	-9.92818746E-01	0.00253774	0.507816	-0.000122265	179.548	2.32757e-005	1.76563	0.00496104	0.00781256	70.265	0
+1.00069599E+01	-9.92817388E-01	0.0025375	0.507816	-0.000118614	-179.181	2.32199e-005	1.67188	0.00496057	0.00781256	70.578	0
+1.00069590E+01	-9.92814610E-01	0.00253703	0.515629	-0.000121266	-179.103	2.31416e-005	1.64845	0.00496057	0.0156251	70.89	0
+1.00069579E+01	-9.92818042E-01	0.00253727	0.507816	-0.000121154	179.954	2.30708e-005	1.70313	0.00496057	0.0156251	71.203	0
+1.00069573E+01	-9.92818151E-01	0.00253727	0.500004	-0.000120216	-179.712	2.30261e-005	1.77345	0.00496057	0.0156251	71.515	0
+1.00069615E+01	-9.92815151E-01	0.00253727	0.515629	-0.000120089	-179.196	2.30075e-005	1.8047	0.00496057	0.0156251	71.828	0
+1.00069573E+01	-9.92818786E-01	0.00253727	0.507816	-0.000120409	179.399	2.30112e-005	1.81251	0.00496057	0.0156251	72.156	0
+1.00069637E+01	-9.92814466E-01	0.00253703	0.507816	-0.000120424	179.954	2.30373e-005	1.8047	0.00496057	0.00781256	72.453	0
+1.00028376E+01	-9.92814126E-01	0.00253703	0.515629	-0.000121147	179.259	2.30895e-005	1.78907	0.00496057	0.00781256	72.781	0
+1.00051005E+01	-9.92817015E-01	0.00253774	0.515629	-0.000122094	-179.931	2.31714e-005	1.84376	0.00496057	0	73.078	0
+1.00069641E+01	-9.92814478E-01	0.00253727	0.507816	-0.000121229	-179.243	2.32087e-005	1.90626	0.00496057	0.00781256	73.406	0
+1.00069607E+01	-9.92817299E-01	0.00253774	0.515629	-0.000119262	179.517	2.31789e-005	1.94532	0.00496057	0.00781256	73.719	0
+1.00069579E+01	-9.92815188E-01	0.00253727	0.507816	-0.000120543	-179.462	2.31342e-005	1.98438	0.00496104	0.0156251	74.015	0
+1.00069575E+01	-9.92815484E-01	0.00253727	0.515629	-0.000123502	-179.931	2.31155e-005	2.01564	0.00496104	0.0156251	74.344	0
+1.00069581E+01	-9.92814799E-01	0.00253727	0.507816	-0.000118256	-179.454	2.31118e-005	2.01564	0.00496104	0.0156251	74.656	0
+1.00069583E+01	-9.92812793E-01	0.00253774	0.507816	-0.000121028	-179.306	2.30969e-005	1.93751	0.00496104	0.00781256	74.953	0
+1.00059733E+01	-9.92815497E-01	0.0025375	0.515629	-0.000120223	179.118	2.30634e-005	1.84376	0.00496057	0.00781256	75.265	0
+1.00029256E+01	-9.92814250E-01	0.00253727	0.515629	-0.000123293	179.72	2.30671e-005	1.78126	0.00496057	0.00781256	75.578	0
+1.00069647E+01	-9.92817064E-01	0.00253727	0.507816	-0.000120342	-179.798	2.30783e-005	1.73438	0.00496057	0.00781256	75.89	0
+1.00069575E+01	-9.92817328E-01	0.00253703	0.507816	-0.000120573	179.329	2.30857e-005	1.69532	0.00496009	0.00781256	76.203	0
+1.00069643E+01	-9.92817154E-01	0.00253774	0.507816	-0.0001214	179.063	2.31118e-005	1.65626	0.00495961	0.00781256	76.515	0
+1.00069679E+01	-9.92815580E-01	0.00253727	0.515629	-0.00012269	179.743	2.31379e-005	1.60157	0.00495961	0.00781256	76.828	0
+1.00069621E+01	-9.92815673E-01	0.00253727	0.507816	-0.00012099	-178.728	2.31453e-005	1.60157	0.00495961	0.00781256	77.14	0
+1.00069602E+01	-9.92819289E-01	0.00253727	0.507816	-0.000122451	-179.673	2.31491e-005	1.64845	0.00495961	0.00781256	77.453	0
+1.00069631E+01	-9.92815734E-01	0.00253679	0.515629	-0.000123241	179.97	2.3164e-005	1.67188	0.00495961	0.00781256	77.781	0
+1.00069608E+01	-9.92819530E-01	0.00253727	0.515629	-0.000121698	-179.907	2.31975e-005	1.6797	0.00495961	0.00781256	78.078	0
+1.00069579E+01	-9.92821160E-01	0.00253727	0.507816	-0.000119038	-179.384	2.32459e-005	1.64845	0.00496009	0	78.406	0
+1.00069555E+01	-9.92818140E-01	0.00253727	0.515629	-0.000121326	-179.579	2.32608e-005	1.62501	0.00496057	0.00781256	78.719	0
+1.00069529E+01	-9.92817929E-01	0.00253703	0.507816	-0.000119061	179.696	2.32273e-005	1.66407	0.00496057	0.00781256	79.031	0
+1.00069568E+01	-9.92817120E-01	0.00253703	0.507816	-0.000119463	179.563	2.31975e-005	1.72657	0.00496057	0.00781256	79.328	0
+1.00069594E+01	-9.92820755E-01	0.00253727	0.507816	-0.000118427	-179.36	2.31602e-005	1.78907	0.00496057	0.00781256	79.64	0
+1.00069605E+01	-9.92819762E-01	0.00253727	0.507816	-0.000122213	179.298	2.30969e-005	1.79688	0.00496057	0.00781256	79.953	0
+1.00069522E+01	-9.92817268E-01	0.00253703	0.507816	-0.000120141	-179.259	2.30522e-005	1.75782	0.00496057	0.00781256	80.281	0
+1.00069591E+01	-9.92813707E-01	0.00253703	0.507816	-0.000121095	-179.259	2.30299e-005	1.71095	0.00496057	0.00781256	80.578	0
