temperature	field	S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	Time	Sweep var
+6.87047223E-02	+6.20465194E-03	0.00173546	0.515629	-0.00010527	-179.759	-8.00198e-006	-179.649	0.00244643	0.070313	26.282	0
+6.87016633E-02	+6.20192011E-03	0.00173689	0.546879	-0.00010527	-179.751	-7.98894e-006	-179.462	0.00244667	0.171876	26.61	0
+6.86991997E-02	+6.20223944E-03	0.00173641	0.507816	-0.00010527	-179.759	-7.99081e-006	-179.36	0.00244643	0.070313	26.907	0
+6.87009489E-02	+6.20617835E-03	0.00173593	0.515629	-0.00010527	-179.767	-7.98708e-006	-179.353	0.00244643	0.250002	27.235	0
+6.87029697E-02	+6.20820065E-03	0.00173593	0.515629	-0.00010527	-179.782	-7.9759e-006	-179.384	0.0024469	0.140626	27.532	0
+6.87054084E-02	+6.20938412E-03	0.00173569	0.515629	-0.000105277	-179.798	-7.97963e-006	-179.384	0.00244643	0.0781255	27.86	0
+6.87014171E-02	+6.21142723E-03	0.00173641	0.515629	-0.000105292	-179.798	-7.99267e-006	-179.36	0.00244643	-0.0312502	28.157	0
+6.87010563E-02	+6.20541598E-03	0.00173569	0.523441	-0.000105314	-179.798	-8.00571e-006	-179.478	0.00244595	0.125001	28.485	0
+6.86996963E-02	+6.20305073E-03	0.00173641	0.523441	-0.000105307	-179.782	-7.99826e-006	-179.626	0.0024469	0.0234376	28.782	0
+6.87014194E-02	+6.20639326E-03	0.00173665	0.500004	-0.000105322	-179.735	-7.98522e-006	-179.845	0.00244667	0.0156251	29.094	0
+6.87029480E-02	+6.20809868E-03	0.00173569	0.507816	-0.000105329	-179.696	-7.98149e-006	179.923	0.0024469	-0.0312502	29.422	0
+6.87010921E-02	+6.21076304E-03	0.00173593	0.523441	-0.000105329	-179.696	-7.98894e-006	179.86	0.0024469	-0.0781255	29.719	0
+6.86973534E-02	+6.20688260E-03	0.00173546	0.539066	-0.000105337	-179.712	-8.01502e-006	179.954	0.0024469	-0.0546877	30.047	0
+6.86993880E-02	+6.20485074E-03	0.00173593	0.523441	-0.000105329	-179.728	-8.06531e-006	-179.938	0.00244643	-0.0312502	30.344	0
