temperature	field	S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	Time	Sweep var
+1.07045707E+00	+1.00531204E+00	0.00174022	0.515629	-0.000121631	-179.259	-1.12597e-005	-179.915	0.00242569	0.0234376	140.234	0
+1.07045866E+00	+1.00531235E+00	0.00173999	0.515629	-0.000124522	179.501	-1.12597e-005	-179.813	0.00242569	0.0234376	140.531	0
+1.07045577E+00	+1.00531253E+00	0.00173999	0.515629	-0.000124783	179.829	-1.12616e-005	-179.728	0.00242569	0.0234376	140.844	0
+1.07045525E+00	+1.00531295E+00	0.00174046	0.515629	-0.000122474	-179.595	-1.12542e-005	-179.813	0.00242569	0.0234376	141.141	0
+1.07045412E+00	+1.00531064E+00	0.00174046	0.515629	-0.000124336	-179.548	-1.12597e-005	-179.899	0.00242569	0.0234376	141.453	0
+1.07045821E+00	+1.00531109E+00	0.00174022	0.523441	-0.000124239	-179.017	-1.12653e-005	-179.915	0.00242569	0.0234376	141.766	0
+1.07045702E+00	+1.00531506E+00	0.00174022	0.523441	-0.000124165	-179.274	-1.12728e-005	-179.853	0.00242569	0.0234376	142.078	0
+1.07046179E+00	+1.00531594E+00	0.00174046	0.515629	-0.000122876	179.923	-1.1284e-005	-179.79	0.00242569	0.0234376	142.406	0
+1.07045940E+00	+1.00531502E+00	0.00174046	0.523441	-0.000124441	-179.962	-1.12877e-005	-179.728	0.00242569	0.0234376	142.719	0
+1.07045325E+00	+1.00531562E+00	0.00174022	0.523441	-0.000124061	-179.47	-1.12821e-005	-179.642	0.00242569	0.0234376	143.016	0
+1.07046085E+00	+1.00531312E+00	0.00174046	0.515629	-0.00012418	-178.993	-1.12858e-005	-179.603	0.00242569	0.0234376	143.344	0
+1.07045846E+00	+1.00531467E+00	0.00174046	0.515629	-0.000122302	179.353	-1.12877e-005	-179.595	0.00242569	0.0234376	143.656	0
+1.07045699E+00	+1.00531482E+00	0.00174046	0.523441	-0.000124143	179.946	-1.1284e-005	-179.595	0.00242569	0.0234376	143.969	0
+1.07045801E+00	+1.00531515E+00	0.00174022	0.531254	-0.000126318	-179.126	-1.12784e-005	-179.603	0.00242569	0.0234376	144.266	0
+1.07046022E+00	+1.00531144E+00	0.00174022	0.523441	-0.000124694	179.985	-1.12728e-005	-179.642	0.00242569	0.0234376	144.578	0
+1.07046000E+00	+1.00531218E+00	0.00174046	0.523441	-0.000123092	-178.587	-1.12597e-005	-179.673	0.00242569	0.0234376	144.906	0
+1.07045852E+00	+1.00530807E+00	0.00174046	0.531254	-0.000123293	179.892	-1.1243e-005	-179.735	0.00242569	0.0234376	145.203	0
+1.07045903E+00	+1.00530977E+00	0.00174046	0.523441	-0.000121698	179.251	-1.12262e-005	-179.79	0.00242569	0.0234376	145.516	0
+1.07045733E+00	+1.00531101E+00	0.00174022	0.515629	-0.000123837	179.962	-1.12299e-005	-179.829	0.00242569	0.0234376	145.844	0
+1.07045835E+00	+1.00531330E+00	0.00174046	0.515629	-0.000124649	-179.954	-1.1243e-005	-179.876	0.00242569	0.0234376	146.141	0
+1.07045744E+00	+1.00531533E+00	0.00174022	0.523441	-0.000123822	-179.087	-1.12709e-005	-179.915	0.00242569	0.0234376	146.469	0
+1.07046159E+00	+1.00531393E+00	0.00174022	0.523441	-0.000125521	-178.446	-1.12896e-005	-179.876	0.00242569	0.0234376	146.781	0
+1.07046051E+00	+1.00531211E+00	0.00174022	0.523441	-0.000124269	179.524	-1.13026e-005	-179.751	0.00242569	0.0234376	147.078	0
+1.07045784E+00	+1.00530755E+00	0.00174046	0.515629	-0.000123166	-178.97	-1.13194e-005	-179.642	0.00242569	0.0234376	147.406	0
+1.07046045E+00	+1.00531185E+00	0.00174046	0.523441	-0.000123479	179.274	-1.13119e-005	-179.696	0.00242569	0.0234376	147.703	0
+1.07045815E+00	+1.00531166E+00	0.00174022	0.523441	-0.000123681	179.978	-1.13175e-005	-179.813	0.00242569	0.0234376	148.016	0
+1.07045980E+00	+1.00531018E+00	0.00174046	0.515629	-0.000125662	-179.235	-1.13324e-005	-179.837	0.00242569	0.0234376	148.344	0
+1.07046099E+00	+1.00531071E+00	0.00174046	0.515629	-0.000121221	-179.165	-1.13361e-005	-179.735	0.00242569	0.0234376	148.656	0
+1.07045582E+00	+1.00530712E+00	0.00174022	0.523441	-0.000124366	-179.337	-1.12896e-005	-179.61	0.00242569	0.0234376	148.969	0
+1.07045940E+00	+1.00530782E+00	0.00174022	0.523441	-0.000126534	-179.86	-1.1243e-005	-179.563	0.00242569	0.0234376	149.266	0
+1.07045633E+00	+1.00530845E+00	0.00174046	0.515629	-0.000123636	-177.782	-1.12318e-005	-179.556	0.00242569	0.0234376	149.594	0
+1.07045815E+00	+1.00530695E+00	0.00174046	0.515629	-0.000123412	179.704	-1.12188e-005	-179.563	0.00242569	0.0234376	149.891	0
+1.07045883E+00	+1.00530969E+00	0.00174046	0.515629	-0.000123554	179.649	-1.12188e-005	-179.634	0.00242569	0.0234376	150.203	0
+1.07045545E+00	+1.00531358E+00	0.00174046	0.523441	-0.000125029	-179.993	-1.12281e-005	-179.696	0.00242569	0.0234376	150.516	0
+1.07045864E+00	+1.00531557E+00	0.00174022	0.515629	-0.00012377	-178.97	-1.12281e-005	-179.696	0.00242569	0.0234376	150.828	0
+1.07045955E+00	+1.00531565E+00	0.00174046	0.515629	-0.000123114	179.868	-1.12281e-005	-179.774	0.00242569	0.0234376	151.141	0
+1.07045994E+00	+1.00531596E+00	0.00174022	0.523441	-0.000124671	-179.837	-1.12467e-005	-179.892	0.00242569	0.0234376	151.469	0
+1.07045949E+00	+1.00531392E+00	0.00174022	0.531254	-0.00012599	-179.899	-1.12616e-005	-179.876	0.00242569	0.0234376	151.766	0
+1.07045869E+00	+1.00531510E+00	0.00174046	0.515629	-0.000122943	179.454	-1.12635e-005	-179.829	0.00242569	0.0234376	152.078	0
+1.07045773E+00	+1.00531908E+00	0.00174046	0.515629	-0.000124552	-179.063	-1.12653e-005	-179.899	0.00242569	0.0234376	152.391	0
+1.07045778E+00	+1.00531721E+00	0.00174046	0.531254	-0.000124143	-179.767	-1.12821e-005	-179.962	0.00242569	0.0234376	152.703	0
+1.07046313E+00	+9.97289003E-01	0.00174022	0.515629	-0.000122399	-178.954	-1.1297e-005	-179.892	0.00242569	0.0234376	153.031	0
+1.07046386E+00	+1.00044819E+00	0.00173999	0.515629	-0.000121251	179.892	-1.12896e-005	-179.798	0.00242569	0.0234376	153.328	0
+1.07046585E+00	+1.00044690E+00	0.00174046	0.523441	-0.000123926	-179.485	-1.12746e-005	-179.704	0.00242569	0.0234376	153.656	0
+1.07046460E+00	+9.97721934E-01	0.00174022	0.523441	-0.000124306	179.493	-1.12635e-005	-179.688	0.00242569	0.0234376	153.953	0
+1.07046585E+00	+9.95544384E-01	0.00174022	0.515629	-0.000123874	-178.321	-1.12672e-005	-179.735	0.00242569	0.0234376	154.266	0
+1.07046324E+00	+9.95279660E-01	0.00174046	0.515629	-0.000123576	-178.978	-1.12653e-005	-179.751	0.00242569	0.0234376	154.594	0
+1.07046125E+00	+9.90657546E-01	0.00174022	0.515629	-0.000124321	-179.579	-1.12616e-005	-179.634	0.00242569	0.0234376	154.891	0
+1.07046026E+00	+9.90657009E-01	0.00174022	0.523441	-0.00012453	179.384	-1.1256e-005	-179.595	0.00242569	0.0234376	155.219	0
+1.07045815E+00	+9.86986803E-01	0.00174046	0.523441	-0.000123286	179.548	-1.12486e-005	-179.626	0.00242569	0.0234376	155.516	0
+1.07045730E+00	+9.85728449E-01	0.00174046	0.515629	-0.000123137	179.595	-1.1215e-005	-179.595	0.00242569	0.0234376	155.844	0
+1.07045810E+00	+9.85733137E-01	0.00174046	0.515629	-0.000121281	-179.853	-1.11852e-005	-179.548	0.00242569	0.0234376	156.141	0
+1.07046310E+00	+9.82496140E-01	0.00174046	0.515629	-0.000122421	-179.899	-1.1161e-005	-179.493	0.00242569	0.0234376	156.453	0
+1.07046264E+00	+9.80850731E-01	0.00173999	0.515629	-0.000123107	-179.532	-1.11331e-005	-179.595	0.00242569	0.0234376	156.766	0
+1.07046060E+00	+9.79539229E-01	0.00174046	0.515629	-0.00012061	178.954	-1.11145e-005	-179.72	0.00242569	0.0234376	157.094	0
+1.07046275E+00	+9.75946544E-01	0.00174046	0.515629	-0.000122623	179.134	-1.11014e-005	-179.696	0.00242569	0.0234376	157.391	0
+1.07046150E+00	+9.75946384E-01	0.00173999	0.523441	-0.000124522	-179.634	-1.10884e-005	-179.72	0.00242569	0.0234376	157.719	0
+1.07045991E+00	+9.74482988E-01	0.00174022	0.523441	-0.000124418	179.899	-1.10847e-005	-179.798	0.00242569	0.0234376	158.016	0
+1.07046219E+00	+9.71068150E-01	0.00174046	0.515629	-0.000120797	-179.86	-1.10902e-005	-179.845	0.00242569	0.0234376	158.328	0
+1.07046037E+00	+9.71065361E-01	0.00174046	0.523441	-0.000122176	-179.673	-1.10921e-005	-179.899	0.00242569	0.0234376	158.641	0
+1.07045730E+00	+9.66142929E-01	0.00173999	0.515629	-0.000122973	-178.97	-1.10847e-005	-179.923	0.00242569	0.0234376	158.969	0
+1.07045531E+00	+9.66140726E-01	0.00173975	0.515629	-0.000121795	-178.962	-1.1066e-005	-179.579	0.00242521	0.0390627	159.281	0
+1.07045707E+00	+9.62960913E-01	0.00174046	0.515629	-0.00012023	-179.532	-1.10269e-005	-179.29	0.00242521	0.0468752	159.578	0
+1.07046213E+00	+9.61274090E-01	0.00174046	0.523441	-0.000123323	-179.642	-1.09729e-005	-179.188	0.00242521	0.0468752	159.891	0
+1.07046327E+00	+9.61268584E-01	0.00173999	0.523441	-0.000122973	-179.673	-1.09394e-005	-179.196	0.00242521	0.0390627	160.203	0
+1.07046185E+00	+9.58258119E-01	0.00173975	0.523441	-0.000123181	-179.438	-1.09263e-005	-179.313	0.00242569	0.0390627	160.516	0
+1.07045730E+00	+9.56355592E-01	0.00173999	0.515629	-0.000123755	-179.36	-1.09207e-005	-179.431	0.00242569	0.0234376	160.828	0
+1.07045190E+00	+9.54890424E-01	0.00174022	0.523441	-0.000124694	-179.306	-1.09319e-005	-179.485	0.00242569	0.0234376	161.141	0
+1.07045457E+00	+9.51469136E-01	0.00173975	0.523441	-0.000122623	-179.22	-1.09412e-005	-179.517	0.00242569	0.0234376	161.469	0
+1.07045321E+00	+9.51466784E-01	0.00174022	0.515629	-0.000122556	-178.782	-1.09375e-005	-179.532	0.00242569	0.0234376	161.781	0
