S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	temperature	field	Time	Sweep var
0.00192762	0.406252	-0.000833634	179.767	1.30386e-006	6.98441	0.00280572	0.203126	+4.01046548E-01	-9.92978967E-01	344.297	0
0.00192762	0.406252	-0.000833634	179.767	1.29082e-006	6.98441	0.00280572	0.070313	+4.01045278E-01	-9.92978639E-01	344.625	0
0.00192762	0.406252	-0.000833515	179.767	1.26288e-006	6.39066	0.00280572	-0.0234376	+4.01046327E-01	-9.92978720E-01	344.922	0
0.00192762	0.414064	-0.000833515	179.767	1.2368e-006	5.83597	0.0028062	0.0156251	+4.01045284E-01	-9.92978164E-01	345.25	0
0.00192762	0.406252	-0.000833634	179.759	1.21445e-006	5.94534	0.00280525	0	+4.01043714E-01	-9.92975911E-01	345.547	0
0.00192738	0.398439	-0.000833634	179.759	1.1921e-006	6.05472	0.00280572	0.101563	+4.01046354E-01	-9.92977448E-01	345.875	0
0.00192762	0.406252	-0.000833634	179.759	1.18092e-006	5.63284	0.00280572	-0.0156251	+4.01044435E-01	-9.92979102E-01	346.172	0
0.00192762	0.406252	-0.000833753	179.759	1.17906e-006	5.16409	0.00280572	-0.0234376	+4.01045754E-01	-9.92977028E-01	346.484	0
0.00192762	0.406252	-0.000833753	179.759	1.18651e-006	5.20316	0.00280572	0	+4.01043944E-01	-9.92979627E-01	346.797	0
0.00192762	0.406252	-0.000833753	179.759	1.19769e-006	5.16409	0.00280572	-0.148438	+4.01044515E-01	-9.92978133E-01	347.125	0
0.00192762	0.406252	-0.000833753	179.759	1.20886e-006	5.50784	0.00280572	-0.0546877	+4.01045140E-01	-9.92979626E-01	347.437	0
0.00192762	0.406252	-0.000833634	179.767	1.22004e-006	6.53909	0.00280572	-0.0546877	+4.01044380E-01	-9.92979346E-01	347.75	0
0.00192738	0.406252	-0.000833753	179.767	1.22377e-006	7.13284	0.00280572	0.0546877	+4.01045925E-01	-9.92979537E-01	348.047	0
0.00192762	0.406252	-0.000833753	179.767	1.21631e-006	6.64066	0.00280572	0	+4.01046090E-01	-9.92978654E-01	348.359	0
0.00192762	0.406252	-0.000833753	179.767	1.21445e-006	6.33597	0.00280572	0.0468752	+4.01045329E-01	-9.92979488E-01	348.672	0
0.00192762	0.406252	-0.000833753	179.767	1.21073e-006	6.43753	0.00280572	0	+4.01046807E-01	-9.92977272E-01	349	0
0.00192762	0.406252	-0.000833634	179.759	1.19769e-006	6.34378	0.00280525	-0.0546877	+4.01044912E-01	-9.92976463E-01	349.297	0
0.00192762	0.406252	-0.000833634	179.759	1.18651e-006	5.60941	0.00280429	0.0781255	+4.01139686E-01	-9.92793764E-01	349.609	0
0.00192762	0.531254	-0.000833753	179.751	-2.68223e-007	-105	0.0028062	0.0625005	+4.01138233E-01	-9.92797097E-01	349.937	0
0.00193239	0.421877	-0.000834469	179.735	-3.81099e-006	-139.376	0.0028062	0.101563	+4.01140011E-01	-9.92794255E-01	350.234	0
0.00192691	0.390627	-0.000835422	179.735	-5.15769e-006	-142.095	0.00280572	0.00781256	+4.01224188E-01	-9.92630208E-01	350.562	0
0.00192881	0.460939	-0.000836018	179.735	-4.3046e-006	-141.767	0.0028062	-0.070313	+4.01229794E-01	-9.92634868E-01	350.859	0
0.00193024	0.390627	-0.000836376	179.743	-2.68595e-006	-139.329	0.00280668	0.0625005	+4.01228801E-01	-9.92627844E-01	351.172	0
0.00192834	0.429689	-0.000836495	179.751	-1.20514e-006	-131.61	0.0028062	0.0937505	+4.01231266E-01	-9.92625190E-01	351.484	0
0.00192977	0.429689	-0.000836495	179.751	-1.76952e-007	-103.602	0.0028062	0.0546877	+4.01230604E-01	-9.92626424E-01	351.812	0
0.00192929	0.382814	-0.000836615	179.751	4.54487e-007	-37.4377	0.00280572	0.0468752	+4.01230088E-01	-9.92628399E-01	352.109	0
0.00192929	0.429689	-0.000836495	179.751	8.04666e-007	-9.75006	0.0028062	0.0781255	+4.01229917E-01	-9.92628782E-01	352.422	0
